FEZF2	2.3.3.20
GFI1B	2.3.3.21
GFI1	2.3.3.21
BCL6	2.3.3.22
BCL6B	2.3.3.22
ZNF212	2.3.3.23
ZNF777	2.3.3.23
MELTF	2.3.3.24
ZNF410	2.3.3.24
PLAG1	2.3.3.25
PLAGL2	2.3.3.25
PLAGL1	2.3.3.25
ZKSCAN3	2.3.3.26
ZKSCAN4	2.3.3.26
ZNF701	2.3.3.27
ZNF765	2.3.3.27
ZNF525	2.3.3.27
ZNF468	2.3.3.27
ZNF143	2.3.3.28
ZNF76	2.3.3.28
ZBTB47	2.3.3.29
ZNF652	2.3.3.29
ZFP91	2.3.3.3
ZNF653	2.3.3.3
ZNF692	2.3.3.3
ZNF276	2.3.3.3
ZNF613	2.3.3.30
ZNF614	2.3.3.30
ZNF577	2.3.3.30
ZNF350	2.3.3.30
ZNF649	2.3.3.30
ZFP69	2.3.3.31
ZNF570	2.3.3.31
ZFP69B	2.3.3.31
ZNF583	2.3.3.31
ZNF679	2.3.3.32
ZNF878	2.3.3.33
ZNF670	2.3.3.33
ZNF844	2.3.3.33
ZNF57	2.3.3.33
ZNF625	2.3.3.33
ZNF627	2.3.3.33
ZNF555	2.3.3.33
ZNF490	2.3.3.33
ZNF124	2.3.3.33
ZNF136	2.3.3.33
ZNF564	2.3.3.33
ZNF563	2.3.3.33
ZNF763	2.3.3.33
ZNF20	2.3.3.33
ZNF439	2.3.3.33
ZNF669	2.3.3.33
ZNF77	2.3.3.33
ZNF440	2.3.3.33
ZNF3	2.3.3.34
ZNF397	2.3.3.34
ZNF582	2.3.3.35
ZNF619	2.3.3.35
ZNF829	2.3.3.35
ZNF620	2.3.3.35
ZNF621	2.3.3.35
ZNF383	2.3.3.35
ZNF566	2.3.3.35
ZNF324	2.3.3.36
ZNF324B	2.3.3.36
ZNF362	2.3.3.37
ZNF384	2.3.3.37
ZNF398	2.3.3.38
ZNF282	2.3.3.38
ZNF785	2.3.3.39
ZNF771	2.3.3.39
ZNF764	2.3.3.39
POGZ	2.3.3.4
ZNF280D	2.3.3.4
ZNF280C	2.3.3.4
ZNF280B	2.3.3.4
ZNF280A	2.3.3.4
ZNF333	2.3.3.40
ZNF891	2.3.3.40
ZNF177	2.3.3.40
ZNF32	2.3.3.41
ZIK1	2.3.3.41
ZNF419	2.3.3.42
ZNF557	2.3.3.43
ZNF558	2.3.3.43
ZNF2	2.3.3.44
ZNF302	2.3.3.44
ZNF140	2.3.3.44
ZNF181	2.3.3.44
ZNF846	2.3.3.45
ZNF562	2.3.3.45
ZNF561	2.3.3.45
ZNF559	2.3.3.45
ZXDC	2.3.3.46
ZXDB	2.3.3.46
ZXDA	2.3.3.46
ZNF45	2.3.3.47
RNF141	2.3.3.47
ZNF155	2.3.3.47
ZNF221	2.3.3.47
ZNF222	2.3.3.47
ZNF223	2.3.3.47
ZNF224	2.3.3.47
ZNF226	2.3.3.47
ZNF227	2.3.3.47
ZNF229	2.3.3.47
ZNF235	2.3.3.47
ZNF234	2.3.3.47
ZNF284	2.3.3.47
ZNF727	2.3.3.48
ZNF736	2.3.3.48
ZNF286A	2.3.3.49
ZNF286B	2.3.3.49
ZSCAN4	2.3.3.5
ZSCAN5A	2.3.3.5
ZSCAN5C	2.3.3.5
ZSCAN5B	2.3.3.5
ZSCAN5DP	2.3.3.5
CTCFL	2.3.3.50
CTCF	2.3.3.50
ZNF366	2.3.3.51
ZNF710	2.3.3.51
ZNF322	2.3.3.52
ZNF548	2.3.3.53
ZNF776	2.3.3.53
ZNF599	2.3.3.54
ZNF543	2.3.3.54
ZNF805	2.3.3.54
