value	symbol1	symbol2	class1	class2
4.495393747672729	PBX2	PBX1	Homeo domain factors	Homeo domain factors
4.492893535765498	SOX7	SOX18	High-mobility group (HMG) domain factors	High-mobility group (HMG) domain factors
4.481547115759553	FOXC1	FOXC2	Fork head / winged helix factors	Fork head / winged helix factors
4.479874807508541	ZIC1	ZIC2	C2H2 zinc finger factors	C2H2 zinc finger factors
4.473441112469225	ETV1	ETV4	Tryptophan cluster factors	Tryptophan cluster factors
4.470320703483235	SP7	RUNX2	C2H2 zinc finger factors	Runt domain factors
4.468781613150195	ASCL1	NEUROG2	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
4.450201021381369	NRL	CRX	Basic leucine zipper factors (bZIP)	Homeo domain factors
4.449704987656717	HOXA13	HOXD13	Homeo domain factors	Homeo domain factors
4.431999247317369	E2F7	E2F8	Fork head / winged helix factors	Fork head / winged helix factors
4.430235888782177	GATA2	GATA1	Other C4 zinc finger-type factors	Other C4 zinc finger-type factors
4.408586802050757	TBX4	TBX5	T-Box factors	T-Box factors
4.401386354436355	HOXD11	HOXD13	Homeo domain factors	Homeo domain factors
4.395340326991138	ISL1	LHX3	Homeo domain factors	Homeo domain factors
4.393792274674139	MAFB	MAFA	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
4.393210503791807	NFATC1	NFATC2	Rel homology region (RHR) factors	Rel homology region (RHR) factors
4.388754717752987	LHX4	LHX3	Homeo domain factors	Homeo domain factors
4.382272792918988	MAF	MAFB	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
4.379676891920015	NFIB	NFIA	SMAD/NF-1 DNA-binding domain factors	SMAD/NF-1 DNA-binding domain factors
4.379025046204585	PITX2	FOXC1	Homeo domain factors	Fork head / winged helix factors
4.377730073070202	FOSB	FOS	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
4.368107107089061	SOX10	OLIG2	High-mobility group (HMG) domain factors	Basic helix-loop-helix factors (bHLH)
4.362138081186081	STAT3	STAT1	STAT domain factors	STAT domain factors
4.35998344872129	RELB	RELA	Rel homology region (RHR) factors	Rel homology region (RHR) factors
4.329656050339192	LMX1A	LMX1B	Homeo domain factors	Homeo domain factors
4.313017615031971	NEUROD1	NEUROG1	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
4.301227284578412	IRF1	STAT1	Tryptophan cluster factors	STAT domain factors
4.297030894776793	IRX1	IRX2	Homeo domain factors	Homeo domain factors
4.288991423330954	SIX3	PAX6	Homeo domain factors	Paired box factors
4.274683436489894	EPAS1	HIF1A	Basic leucine zipper factors (bZIP)	Basic helix-loop-helix factors (bHLH)
4.272415359347755	SOX8	SOX9	High-mobility group (HMG) domain factors	High-mobility group (HMG) domain factors
4.269821270565194	MYCN	MYC	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
4.258829909839577	HOXD12	HOXD13	Homeo domain factors	Homeo domain factors
4.258248317068848	AHRR	AHR	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
